관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
오어사,오어사 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-293-2374,경상북도 포항시 남구 오천읍 오어로 1,경상북도 포항시 남구 오천읍 항사리 34,경상북도 포항시청,http://www.pohang.go.kr/phtour/9329/subview.do,35.926398,129.368808,2024-08-05,5020000,경상북도 포항시
보경사,보경사 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-262-2371,경상북도 포항시 북구 송라면 보경로 523,경상북도 포항시 북구 송라면 중산리 622,경상북도 포항시청,http://www.pohang.go.kr/phtour/9329/subview.do,36.25296835,129.319202,2024-08-05,5020000,경상북도 포항시
호미곶,호미곶 광장,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-282-1222,경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 293-1,경상북도 포항시청,http://www.pohang.go.kr/phtour/9329/subview.do,36.07608308,129.5665319,2024-08-05,5020000,경상북도 포항시
포항공항,공항내,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,항공편에 따른 탄력근무,10:00,17:00,10:00,17:00,1,Y,Y,Y,,054-289-7298,경상북도 포항시 남구 동해면 일월로 18,경상북도 포항시 남구 동해면 도구리 402-1,경상북도 포항시청,http://www.pohang.go.kr/phtour/9329/subview.do,35.98411499,129.4340373,2024-08-05,5020000,경상북도 포항시
월포역,월포역 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,토+일(*단 비상시는 근무),10:00,17:00,10:00,17:00,1,Y,Y,Y,,054-232-2220,경상북도 포항시 북구 청하면 월포로 137,경상북도 포항시 북구 청하면 월포리 404-3,경상북도 포항시청,http://www.pohang.go.kr/phtour/9329/subview.do,36.20410853,129.3669443,2024-08-05,5020000,경상북도 포항시
천안아산역,천안아산역 2층,충청남도,아산시,관광홍보자료 비치 및 관내 관광지 소개,,설 연휴+추석 연휴,09:00,18:00,09:00,18:00,1,Y,Y,Y,,041-530-6400,충청남도 아산시 배방읍 희망로100,충청남도 아산시 배방읍 장재리 364-4,충청남도 아산시,www.asan.go.kr,36.7945269,127.1044505,2024-08-31,4520000,충청남도 아산시
중구관광안내소,영도대교 입구,부산광역시,중구,부산광역시 중구 방문관광객에게 관광정보 및 관광안내 서비스 제공합니다.,,1월1일+설 당일+설 연휴+추석 당일+추석 연휴,10:00,19:00,10:00,19:00,1,Y,Y,Y,,051-254-5504,부산광역시 중구 태종로 8(남포동1가),부산광역시 중구 남포동1가 33-9,부산광역시 중구청,,35.09725344,129.035681,2024-10-04,3250000,부산광역시 중구
창선관광안내소,광복로 시티스팟,부산광역시,중구,부산광역시 중구 방문관광객에게 관광정보 및 관광안내 서비스 제공합니다.,,1월1일+설 당일+설 연휴+추석 당일+추석 연휴,10:00,19:00,10:00,19:00,1,Y,Y,Y,,051-242-8253,부산광역시 중구 광복중앙로 3(창선동1가),부산광역시 중구 창선동1가 1-1,부산광역시 중구청,,35.09953937,129.0311369,2024-10-04,3250000,부산광역시 중구
보수동책방골목관광안내소,보수동책방골목,부산광역시,중구,부산광역시 중구 방문관광객에게 관광정보 및 관광안내 서비스 제공합니다.,,1월1일+설 당일+설 연휴+추석 당일+추석 연휴,10:00,19:00,10:00,19:00,1,Y,Y,Y,,051-245-0305,부산광역시 중구 대청로 61-2(보수동책방골목문화관 1층),부산광역시 중구 보수동1가 130-3,부산광역시 중구청,,35.1032183,129.0267187,2024-10-04,3250000,부산광역시 중구
수승대관광안내소,수승대 관리사무소옆,경상남도,거창군,문화관광해설사의 관광안내,,연중무휴(명절 제외),10:00,17:00,10:00,17:00,1,N,Y,N,,055-940-3926,경상남도 거창군 위천면 은하리길 2,경상남도 거창군 위천면 황산리 750-3,경상남도 거창군청,http://www.geochang.go.kr/tour/Index.do,35.760923,127.8336763,2024-09-23,5470000,경상남도 거창군
옥천관광안내소,옥천전통문화체험관,충청북도,옥천군,지역 여행 정보 제공 및 옥천전통문화체험관 이용 안내,,매주 월요일,09:00,18:00,09:00,18:00,2,N,N,N,,043-730-3420,충청북도 옥천군 옥천읍 향수길 100,충청북도 옥천군 옥천읍 하계리 1-1,충청북도 옥천군 문화관광과,https://tradition.oc.go.kr,36.31631993,127.5851439,2024-09-12,4430000,충청북도 옥천군
금강산 가는길 안내소,강원특별자치도 양구군 방산면 고방산리 1024,강원특별자치도,양구군,금강산가는길 두타연 관광 안내 및 매표,,월(공휴일일 경우 근무),09:00,17:00,09:00,16:00,3, ,Y, ,,033-480-7266,강원특별자치도 양구군 방산면 두타연로 297,강원특별자치도 양구군 방산면 고방산리 1024,강원특별자치도 양구군청,http://www.ygtour.kr/,38.246783,127.9816923,2024-09-06,4321000,강원특별자치도 양구군
부석사종합관광안내소,부석사입구,경상북도,영주시,관광지 안내 및 해설,다국적오디오 해설 단말기 대여,명절당일,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-638-5833,경상북도 영주시 부석면 부석사로 314,경상북도 영주리 부석면 북지리 288,경상북도 영주시청,http://www.yeongju.go.kr/open_content/tour/index.do,36.99481194,128.681529,2023-07-01,5090000,경상북도 영주시
소수서원관광안내소,소수서원주차장,경상북도,영주시,관광지 안내 및 해설,휠체어 및 유모차 대여,명절당일,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-639-5852,경상북도 영주시 순흥면 소백로 2740,경상북도 영주시 순흥면 내죽리 160-1,경상북도 영주시청,http://www.yeongju.go.kr/open_content/tour/index.do,36.9252494,128.5790693,2023-07-01,5090000,경상북도 영주시
선비촌관광안내소,선비촌주차장,경상북도,영주시,관광지 안내 및 해설,휠체어 및 유모차 대여,명절당일,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-637-8586,경상북도 영주시 순흥면 소백로 2796,경상북도 영주시 순흥면 청구리 362,경상북도 영주시청,http://www.yeongju.go.kr/open_content/tour/index.do,36.92847353,128.5834337,2023-07-01,5090000,경상북도 영주시
무섬마을관광안내소,무섬마을입구,경상북도,영주시,관광지 안내 및 해설,휠체어 및 유모차 대여,명절당일,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-636-4700,경상북도 영주시 문수면 무섬로 238-3,경상북도 영주시 문수면 수도리 268,경상북도 영주시청,http://www.yeongju.go.kr/open_content/tour/index.do,36.73299184,128.6212703,2023-07-01,5090000,경상북도 영주시
영주역안내소,영주역앞,경상북도,영주시,관광지 안내 및 해설,,명절당일,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-634-3105,경상북도 영주시 선비로 55,경상북도 영주시 휴천동 326,경상북도 영주시청,http://www.yeongju.go.kr/open_content/tour/index.do,36.81011662,128.6242371,2023-07-01,5090000,경상북도 영주시
미륵사지,미륵사지주차장옆,전북특별자치도,익산시,관광정보+안내,휠체어 대여,월,09:00,18:00,09:00,18:00,5, ,Y, ,,063-859-3873,전북특별자치도 익산시 금마면미륵사지로362,,전북특별자치도 익산시청,,36.01154675,127.0287269,2024-07-24,4681000,전북특별자치도 익산시
왕궁유적,유물전시관내,전북특별자치도,익산시,관광정보+안내,휠체어 대여,월,09:00,18:00,09:00,18:00,5, ,Y, ,,063-859-4799,전북특별자치도 익산시 왕궁면 궁성로 666,,전북특별자치도 익산시청,,35.97155978,127.0558096,2024-07-24,4681000,전북특별자치도 익산시
보석박물관,박물관입구,전북특별자치도,익산시,관광정보+안내,휠체어 대여,월,09:00,18:00,09:00,18:00,5, ,Y, ,,063-859-4645,전북특별자치도 익산시 왕궁면 호반로 8,,전북특별자치도 익산시청,,35.99061351,127.102548,2024-07-24,4681000,전북특별자치도 익산시
익산역,여행센터내,전북특별자치도,익산시,관광정보+안내,,토+일+공휴일,09:00,18:00,09:00,18:00,1, , ,Y,,063-859-3825,전북특별자치도 익산시 익산대로 153,,전북특별자치도 익산시청,,35.94186712,126.9473079,2024-07-24,4681000,전북특별자치도 익산시
해저터널관광안내소,해저터널 입구,경상남도,통영시,"관광지·교통 안내, 책자 홍보물 제공 등",와이파이,연중무휴(공휴일 제외),10:00,17:00,10:00,17:00,1,N,N,N,없음,055-650-0582,,경상남도 통영시 당동 1-3,경상남도 통영시청,,34.83609021,128.411698,2025-03-30,5330000,경상남도 통영시
욕지관광안내소,불곡마을 선착장 옆,경상남도,통영시,"관광지·교통 안내, 책자 홍보물 제공, 동행해설 등",와이파이,연중무휴(공휴일 제외),09:00,16:00,09:00,16:00,1,N,N,N,없음,055-649-9905,,경상남도 통영시 욕지면 동항리 547-35,경상남도 통영시청,,34.63336516,128.2650885,2025-03-30,5330000,경상남도 통영시
사량관광안내소,사량면 야콘판매장,경상남도,통영시,"관광지·교통 안내, 책자 홍보물 제공, 동행해설 등",와이파이,연중무휴(공휴일 제외),09:00,16:00,09:00,16:00,1,N,N,N,없음,055-642-8392,,경상남도 통영시 사량면 금평리 114-7,경상남도 통영시청,,34.84458626,128.2207213,2025-03-30,5330000,경상남도 통영시
한산관광안내소,제승당 선착장 매표소 옆,경상남도,통영시,"관광지·교통 안내, 책자 홍보물 제공, 동행해설 등",와이파이,연중무휴(공휴일 제외),09:00,16:00,09:00,16:00,1,N,N,N,없음,055-642-8392,경상남도 통영시 한산면 한산일주로 101,경상남도 통영시 한산면 염호리 763-2,경상남도 통영시청,,34.79791531,128.4749848,2025-03-30,5330000,경상남도 통영시
논개생가지,"장계에서 26번 국도를 따라 육십령쪽으로 4km쯤 가다 오동, 대곡의 군도를 따라 3.5km쯤 거슬러 올라가는 주촌마을이 있치해 있고, 주촌민속마을과 이어져 있음",전북특별자치도,장수군,도착 일주일전 사전예약시 문화관광해설사의 안내 및 통역 가능하며 인근 추천 관광명소와 교통 정보를 제공,,연중무휴,10:00,17:30,10:00,17:00,2,N,N,N,,063-350-1662,전북특별자치도 장수군 장계면 의암로 558,전북특별자치도 장수군 장계면 대곡리 708,전북특별자치도 장수군청,https://www.jangsu.go.kr/tour/board/view.jangsu?boardId=BBS_0000004&dataSid=179&menuCd=DOM_000000402001002000&&cpath=2Ftour,35.67922096,127.6212314,2025-03-28,4751000,전북특별자치도 장수군
논개사당,장수공용버스터미널 입구에서 우측 방향으로 장천로를 452m 직진한 후 논개사당길로 좌회전 후 310m 직진,전북특별자치도,장수군,도착 일주일전 사전예약시 문화관광해설사의 안내 및 통역 가능하며 인근 추천 관광명소와 교통 정보를 제공,,연중무휴,10:00,18:00,10:00,18:00,2,N,N,N,,063-350-1637,전북특별자치도 장수군 장수읍 논개사당길 41,전북특별자치도 장수군 장수읍 두산리 440,전북특별자치도 장수군청,http://www.jangsu.go.kr/tour/board/view.jangsu?menuCd=DOM_000000402005002001&boardId=BBS_0000009&dataSid=260,35.64378014,127.5228361,2025-03-28,4751000,전북특별자치도 장수군
정인승기념관,장계시외공용버스터미널 입구에서 우측 방향으로  147m 직진한 후 사거리에서 좌회전 하여 장무로 를9.2km 직진 후 파파실길 파곡마을 방면으로 우회전 후 1.6km 이동 후 건재길에서 좌회전 두번 후 도착 주변에 양악호가 ,전북특별자치도,장수군,정인승 박사는 조선어학회에서 큰사전 편집주간을 맡았으며 1942년 조선어학회 사건으로 함흥형무소에 수감되어 옥고를 치렀음,,월+화,10:00,18:00,10:00,18:00,1,N,N,N,,063-352-3077,전북특별자치도 장수군 계북면 양악길 119,전북특별자치도 장수군 계북면 양악리 143,전북특별자치도 장수군청,http://www.jangsu.go.kr/tour/board/view.jangsu;jsessionid=1FB68B9A9C44B5E976BD8FCEC6E04952?boardId=BBS_0000007&dataSid=209&menuCd=DOM_000000402004003000&&cpath=2Ftour,35.80551684,127.6380841,2025-03-28,4751000,전북특별자치도 장수군
방화동가족휴가촌,장수공용버스터미널 입구에서 좌측 방향으로 182m 직진한 후 로터리에서 9시 방향으로 나간 후 475m 직진후 남원 담양 방면으로 좌회전 후 우회도로로 진입하여 7.2km 직진후 수분교차로에서 좌회전하여 3.5km 이동 후 ,전북특별자치도,장수군,"전국 8대 종산에 속하는 장안산 기슭을 따라 펼쳐지는 맑고 깨끗한 계곡을 끼고 조성된 국민 휴양지이며, 주요시설로는 오토캠핑장, 야영장, 가족놀이장, 수변피크닉장, 체육시설 등이 있음",,연중무휴,09:00,18:00,09:00,18:00,3,N,N,N,,063-350-2475,전북특별자치도 장수군 번암면 방화동로 778,전북특별자치도 장수군 번암면 사암리 682,전북특별자치도 장수군청,http://www.jangsu.go.kr/tour/board/view.jangsu?boardId=BBS_0000004&dataSid=177&menuCd=DOM_000000802001001000&contentsSid=760&cpath=2Ftour,35.59064044,127.5268764,2025-03-28,4751000,전북특별자치도 장수군
동대구역안내소,동대구역 광장,대구광역시,동구,동대구역관련 및 시티투어 근교투어 탑승장소 정보제공,,연중무휴,09:00,19:00,09:00,19:00,5,Y,Y,Y,,053-939-0080,대구광역시 동구 동대구로 550(신암동),대구광역시 동구 신암동 294,대구광역시 관광협회,http://www.daegutravel.or.kr+http://tour.daegu.go.kr,35.87943775,128.628719,2025-03-31,3420000,대구광역시 동구
해파랑길관광안내소,부산 남구 오륙도로 137,부산광역시,남구,오륙도 및 해파랑길 관광안내 및 정보 제공,,"연중무휴(설,추석 당일 12:00-18:00)",09:00,18:00,09:00,18:00,2,Y,Y,Y,,051-607-6395,부산광역시 남구 오륙도로 137,부산광역시 남구 용호동 산197-4,부산광역시 남구 시설관리사업소,,35.10143799,129.1231048,2023-11-14,3310000,부산광역시 남구
선소관광안내소,선소유적지 내,전라남도,여수시,여수관광 정보 제공,,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-691-1238,,전라남도 여수시 시전동 686-2,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.756171,127.662981,2024-03-13,4810000,전라남도 여수시
백야항관광안내소,백야항 입구,전라남도,여수시,여수관광 정보 제공,,연중무휴,08:20,15:00,08:20,15:00,1,N,N,N,,000-000-0000,,전라남도 여수시 화정면 백야리 96-2,전라남도 여수시청,http://www.yeosu.go.kr/tour,34.61917986,127.6416364,2024-03-13,4810000,전라남도 여수시
섬섬여수 힐링쉼터 더섬 관광안내소,조발해오름언덕,전라남도,여수시,여수관광 정보 제공,,연중무휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-666-3872,전라남도 여수시 화정면 화양조발대교로 151,전라남도 여수시 화정면 조발리 산26-1,전라남도 여수시청,www.ystour.kr,34.63106173,127.562213,2024-03-13,4810000,전라남도 여수시
운림산방안내소,전라남도 진도군 의신면 사천리 운림산방 입구,전라남도,진도군,운림산방 입장 가격정보와 시설 정보 안내,전시관,매주월요일,09:00,18:00,09:00,18:00,1,Y,Y,Y,,061-540-6286,전라남도 진도군 의신면 운림산방로 315,전라남도 진도군 의신면 사천리 61,전라남도 진도군청,,34.46699277,126.3083838,2024-08-13,5000000,전라남도 진도군
강서구관광안내소,가덕도 외양포 포진지,부산광역시,강서구,"가덕도방문객들에게 강서구의 문화관광자산 소개 매주 수~일, 공휴일 운영",관광안내도 배부,월+화,09:00,15:30,09:00,15:30,1,N,N,N,,051-972-6369,,부산광역시 강서구 대항동 산13-23,부산강서문화원,http://www.bsgangseo.go.kr/culture/main.do,35.00608223,128.8257879,2024-08-12,3360000,부산광역시 강서구
강서구관광안내소,가덕도 대항항,부산광역시,강서구,"가덕도방문객들에게 강서구의 문화관광자산 소개 매주 수~일, 공휴일 운영",관광안내도 배부,월+화,09:00,15:30,09:00,15:30,1,N,N,N,,051-972-6369,,부산광역시 강서구 대항동 393-9,부산강서문화원,http://www.bsgangseo.go.kr/culture/main.do,35.01327081,128.8274422,2024-08-12,3360000,부산광역시 강서구
구례군관광안내소,구례군관광안내소 앞,전라남도,구례군,,,공휴일,10:00,17:00,10:00,17:00,1,Y,N,Y,,061-780-2441,전라남도 구례군 산동면 지리산온천로 230,전라남도 구례군 산동면 탑정리 394,전라남도 구례군,https://www.gurye.go.kr/tour/subPage.do?menuNo=106003000000,35.3157211874,127.4540891520,2024-08-12,4870000,전라남도 구례군
구례공영버스터미널 관광안내소,구례군 공영버스터미널 앞,전라남도,구례군,,,공휴일,10:00,17:00,10:00,17:00,1,Y,N,Y,,061-780-2450,전라남도 구례군 구례읍 중앙로 8,전라남도 구례군 구례읍 봉남리 1,전라남도 구례군,https://www.gurye.go.kr/tour/subPage.do?menuNo=106003000000,35.2067741378,127.468627,2024-08-12,4870000,전라남도 구례군
구례구역 관광안내소,구례구역 앞,전라남도,순천시,,,공휴일,10:00,17:00,10:00,17:00,1,Y,N,Y,,061-782-1941,전라남도 순천시 황전면 섬진강로 217,전라남도 순천시 황전면 선변리 850-2,전라남도 구례군,https://www.gurye.go.kr/tour/subPage.do?menuNo=106003000000,35.1633106500,127.4531530444,2024-08-12,4870000,전라남도 구례군
화엄사 관광안내소,화엄사 대웅전 옆,전라남도,구례군,,,공휴일,10:00,17:00,10:00,17:00,1,Y,N,Y,,061-783-2030,전라남도 구례군 마산면 화엄사로 539,전라남도 구례군 마산면 황전리 12,전라남도 구례군,https://www.gurye.go.kr/tour/subPage.do?menuNo=106003000000,35.2573160234,127.4977197326,2024-08-12,4870000,전라남도 구례군
운주사,운주사 입구,전라남도,화순군,운주사 내 천불천탑 및 와불상 안내,,연중무휴,09:30,17:00,10:00,16:30,2,Y,Y,Y,,061-374-0548,전라남도 화순군 도암면 천태로 91-44,전라남도 화순군 도암면 용강리 77,전라남도 화순군청,www.hwasun.go.kr,34.92906333,126.8825635,2024-08-12,4900000,전라남도 화순군
탐험챌린지전시관 안내소,탐험챌린지 전시관 내,충청북도,제천시,제천시 관광전반 및 탐험챌린지전시관 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",10:00,17:00,10:00,17:00,2,N,N,N,,043-645-8881,충청북도 제천시 청풍면 문화재길 30,충청북도 제천시 청풍면 읍리 22-5,충청북도  제천시청,http://tour.jecheon.go.kr,37.00441876,128.1735711,2025-02-11,4400000,충청북도 제천시
옥순봉 출렁다리 관광안내소,옥순분 출렁다리 내,충청북도,제천시,제천시 관광전반 및 옥순봉 출렁다리 일원에 대한 해설 안내,,"신정당일, 설날연휴, 추석연휴",10:00,17:00,10:00,17:00,2,N,N,N,,043-641-5737,충청북도 제천시 옥순봉로 342,충청북도 제천시 수산면 괴곡리 77-16,충청북도  제천시청,http://tour.jecheon.go.kr,36.94414411,128.2315046,2025-02-11,4400000,충청북도 제천시
통합관광정보센터,제천역 인근 어번케어센터 내,충청북도,제천시,제천시 관광전반에 대한 안내 및 해설,,"신정당일, 설날연휴, 추석연휴",09:00,18:00,10:00,17:00,2,N,N,N,,043-641-6731,충청북도 제천시 의림대로1길 2(7층),충청북도 제천시 영천동 526(7층),충청북도  제천시청,http://tour.jecheon.go.kr,37.12885817,128.2053992,2025-02-11,4400000,충청북도 제천시
어번케에센터 관광안내소,제천역 인근 어번케어센터 내,충청북도,제천시,제천시 관광전반에 대한 안내 및 해설,,"신정당일, 설날연휴, 추석연휴",10:30,17:30,09:00,17:30,1,N,N,N,,043-648-7102,충청북도 제천시 의림대로1길 2(2층),충청북도 제천시 영천동 526(2층),충청북도  제천시청,http://tour.jecheon.go.kr,37.12885817,128.2053992,2025-02-11,4400000,충청북도 제천시
거제섬앤섬길ㆍ남파랑길 여행자센터,구조라유람선터미널 인근,경상남도,거제시,거제섬앤섬길ㆍ남파랑길 이용 관광객 편의 도모,,설 전일+설 당일+추석 전일+추석 당일+기타 기관이 정하는 일자,10:00,17:00,10:00,17:00,1,N,N,N,,055-681-8077,경상남도 거제시 일운면 구조라로 25,경상남도 거제시 일운면 구조라리 42-16,경상남도 거제시청 관광과,https://tour.geoje.go.kr/index.geoje,34.8060484,128.6954004,2025-02-07,5370000,경상남도 거제시
신촌역사관광안내소,(구)신촌역사,서울특별시,서대문구,신촌역사를 찾는 관광객들에게 서울특별시 관광정보 제공,-,"설날당일, 추석당일",10:00,19:00,10:00,19:00,2,Y,Y,Y,"영어,중국어,일본어",02-363-7833,서울특별시 서대문구 신촌역로 30,서울특별시 서대문구 신촌동 74-12,서울특별시,없음,37.5598311,126.942387,2022-10-31,3120000,서울특별시 서대문구
